Title,Summary,Description,Level of implementation,Quadrant,Origin,Technology,Data,Use case,Source,SDG goal,Organization,Developer,Implementer,Partner
Technology item 33,Summary 33,Description 33,production,recovery,Armenia,Drones,Data 33,Use case 33,Source 33,SDG 7,Organization name 33,Developer Name 33,Implementer 33,Partner 33
Technology item 34,Summary 34,Description 34,prototype,response,Indonesia,Natural Language Processing,Data 34,Use case 34,Source 34,SDG 3,Organization name 34,Developer Name 34,Implementer 34,Partner 34
Technology item 35,Summary 35,Description 35,validation,preparedness,Zambia,Social Media,Data 35,Use case 35,Source 35,SDG 4,Organization name 35,Developer Name 35,Implementer 35,Partner 35
Technology item 36,Summary 36,Description 36,production,resilience,Signapore,Machine Learning,Data 36,Use case 36,Source 36,SDG 10,Organization name 36,Developer Name 36,Implementer 36,Partner 36
Technology item 37,Summary 37,Description 37,idea,resilience,Signapore,Blockchain,Data 37,Use case 37,Source 37,SDG 11,Organization name 37,Developer Name 37,Implementer 37,Partner 37
Technology item 38,Summary 38,Description 38,prototype,recovery,Indonesia,Drones,Data 38,Use case 38,Source 38,SDG 12,Organization name 38,Developer Name 38,Implementer 38,Partner 38
Technology item 39,Summary 39,Description 39,production,response,Egypt,Natural Language Processing,Data 39,Use case 39,Source 39,SDG 13,Organization name 39,Developer Name 39,Implementer 39,Partner 39
Technology item 40,Summary 40,Description 40,production,resilience,Armenia,Social Media,Data 40,Use case 40,Source 40,SDG 14,Organization name 40,Developer Name 40,Implementer 40,Partner 40
Technology item 41,Summary 41,Description 41,validation,preparedness,Indonesia,Artificial Intelligence,Data 41,Use case 41,Source 41,SDG 15,Organization name 41,Developer Name 41,Implementer 41,Partner 41
Technology item 42,Summary 42,Description 42,prototype,response,Signapore,Natural Language Processing,Data 42,Use case 42,Source 42,SDG 15,Organization name 42,Developer Name 42,Implementer 42,Partner 42
Technology item 43,Summary 43,Description 43,production,recovery,Zambia,Drones,Data 43,Use case 43,Source 43,SDG 2,Organization name 43,Developer Name 43,Implementer 43,Partner 43
Technology item 44,Summary 44,Description 44,production,resilience,Egypt,Machine Learning,Data 44,Use case 44,Source 44,SDG 3,Organization name 44,Developer Name 44,Implementer 44,Partner 44
Technology item 45,Summary 45,Description 45,validation,preparedness,Indonesia,Natural Language Processing,Data 45,Use case 45,Source 45,SDG 4,Organization name 45,Developer Name 45,Implementer 45,Partner 45
Technology item 46,Summary 46,Description 46,idea,resilience,Egypt,Artificial Intelligence,Data 46,Use case 46,Source 46,SDG 15,Organization name 46,Developer Name 46,Implementer 46,Partner 46
Technology item 47,Summary 47,Description 47,prototype,response,Signapore,Blockchain,Data 47,Use case 47,Source 47,SDG 12,Organization name 47,Developer Name 47,Implementer 47,Partner 47
Technology item 48,Summary 48,Description 48,validation,recovery,Turkey,Machine Learning,Data 48,Use case 48,Source 48,SDG 13,Organization name 48,Developer Name 48,Implementer 48,Partner 48
